Date,FG,SPX,NQ
2021-07-27,27.166666666666668,4401.46,14956.9697265625
2021-07-28,27.46666666666667,4400.64,15018.099609375
2021-07-29,29.233333333333334,4419.15,15048.3603515625
2021-07-30,25.76666666666667,4395.26,14959.900390625
2021-08-02,25.1,4387.16,14963.6201171875
2021-08-03,29.533333333333335,4423.15,15061.419921875
2021-08-04,28.633333333333336,4402.66,15083.3896484375
2021-08-05,29.633333333333336,4429.1,15181.6396484375
2021-08-06,31.866666666666664,4436.52,15109.3603515625
2021-08-09,32.06666666666667,4432.35,15133.1103515625
2021-08-10,34.833333333333336,4436.75,15053.580078125
2021-08-11,37.93333333333334,4447.7,15027.759765625
2021-08-12,43.13333333333333,4460.83,15088.98046875
2021-08-13,47.13333333333333,4468.0,15136.6796875
2021-08-16,44.866666666666674,4479.71,15140.76953125
2021-08-17,31.7,4448.08,15002.830078125
2021-08-18,18.2,4400.27,14857.919921875
2021-08-19,14.883333333333336,4405.8,14933.9404296875
2021-08-20,23.86666666666667,4441.67,15092.5703125
2021-08-23,30.433333333333337,4479.53,15312.8203125
2021-08-24,34.4,4486.23,15357.6796875
2021-08-25,36.03333333333333,4496.19,15368.919921875
2021-08-26,36.833333333333336,4470.0,15278.51953125
2021-08-27,47.46666666666667,4509.37,15432.9501953125
2021-08-30,47.86666666666667,4528.79,15605.08984375
2021-08-31,47.23333333333333,4522.68,15582.509765625
2021-09-01,43.13333333333333,4524.09,15611.5703125
2021-09-02,44.166666666666664,4536.95,15604.25
2021-09-03,44.06666666666666,4535.43,15652.8603515625
2021-09-07,41.7,4520.03,15675.759765625
2021-09-08,38.56666666666667,4514.07,15620.849609375
2021-09-09,33.800000000000004,4493.28,15561.0498046875
2021-09-10,20.600000000000005,4458.58,15440.75
2021-09-13,28.266666666666666,4468.73,15434.5
2021-09-14,24.8,4443.05,15382.900390625
2021-09-15,31.200000000000003,4480.7,15503.5302734375
2021-09-16,31.500000000000004,4473.75,15515.91015625
2021-09-17,17.933333333333337,4432.99,15333.4697265625
2021-09-20,11.1,4357.73,15012.1904296875
2021-09-21,11.449999999999998,4354.19,15027.76953125
2021-09-22,20.033333333333335,4395.64,15176.509765625
2021-09-23,24.5,4448.98,15316.580078125
2021-09-24,23.83333333333334,4455.48,15329.6796875
2021-09-27,24.766666666666666,4443.11,15204.8203125
2021-09-28,12.466666666666669,4352.63,14770.2998046875
2021-09-29,12.483333333333334,4359.46,14752.8896484375
2021-09-30,9.966666666666669,4307.54,14689.6201171875
2021-10-01,18.333333333333332,4357.04,14791.8701171875
2021-10-04,9.500000000000002,4300.46,14472.1201171875
2021-10-05,18.766666666666666,4345.72,14674.150390625
2021-10-06,20.066666666666663,4363.55,14766.75
2021-10-07,24.600000000000005,4399.76,14897.1298828125
2021-10-08,25.26666666666667,4391.34,14820.75
2021-10-11,25.9,4361.19,14713.73046875
2021-10-12,22.7,4350.65,14662.1103515625
2021-10-13,24.100000000000005,4363.8,14774.599609375
2021-10-14,31.833333333333332,4438.26,15052.419921875
2021-10-15,43.63333333333333,4471.37,15146.919921875
2021-10-18,46.56666666666666,4486.46,15300.8896484375
2021-10-19,53.400000000000006,4519.63,15410.7197265625
2021-10-20,56.56666666666667,4536.19,15388.7099609375
2021-10-21,60.2,4549.78,15489.58984375
2021-10-22,59.5,4544.9,15355.0703125
2021-10-25,62.96666666666667,4566.48,15514.1904296875
2021-10-26,63.03333333333334,4574.79,15559.490234375
2021-10-27,58.333333333333336,4551.68,15598.3896484375
2021-10-28,64.4,4596.42,15778.16015625
2021-10-29,65.43333333333334,4605.38,15850.4697265625
2021-11-01,66.13333333333334,4613.67,15905.2802734375
2021-11-02,68.26666666666667,4630.65,15972.490234375
2021-11-03,72.2,4660.57,16144.5
2021-11-04,72.43333333333334,4680.06,16346.240234375
2021-11-05,73.60000000000001,4697.53,16359.3798828125
2021-11-08,74.53333333333335,4701.7,16336.0302734375
2021-11-09,77.17142857142858,4685.25,16219.9404296875
2021-11-10,73.08571428571429,4646.71,15985.5703125
2021-11-11,72.22857142857143,4649.27,16032.4697265625
2021-11-12,74.0,4682.85,16199.8896484375
2021-11-15,71.62857142857145,4682.8,16189.1201171875
2021-11-16,72.48571428571428,4700.9,16309.76953125
2021-11-17,69.2,4688.67,16308.0703125
2021-11-18,70.14285714285715,4704.54,16482.970703125
2021-11-19,62.77142857142859,4697.96,16573.33984375
2021-11-22,60.0,4682.94,16380.98046875
2021-11-23,60.371428571428574,4690.7,16306.7197265625
2021-11-24,56.94285714285714,4701.46,16367.8095703125
2021-11-26,31.25714285714286,4594.62,16025.580078125
2021-11-29,38.114285714285714,4655.27,16399.240234375
2021-11-30,24.771428571428572,4567.0,16135.919921875
2021-12-01,25.357142857142858,4513.04,15877.7197265625
2021-12-02,22.928571428571427,4577.1,15990.759765625
2021-12-03,20.157142857142865,4538.43,15712.0400390625
2021-12-06,21.25714285714286,4591.67,15846.16015625
2021-12-07,37.88571428571429,4686.75,16325.66015625
2021-12-08,41.31428571428573,4701.21,16394.33984375
2021-12-09,36.85714285714287,4667.45,16149.5703125
2021-12-10,42.0,4712.02,16331.98046875
2021-12-13,35.4,4668.97,16082.5498046875
2021-12-14,31.542857142857144,4634.09,15914.900390625
2021-12-15,37.8,4709.85,16289.58984375
2021-12-16,33.57142857142858,4668.67,15863.9404296875
2021-12-17,32.51428571428572,4620.64,15801.4599609375
2021-12-20,29.428571428571427,4568.02,15627.6396484375
2021-12-21,34.028571428571425,4649.23,15986.2802734375
2021-12-22,39.542857142857144,4696.56,16180.1396484375
2021-12-23,50.48571428571428,4725.79,16308.2099609375
2021-12-27,56.39999999999999,4791.19,16567.5
2021-12-28,62.971428571428575,4786.35,16488.66015625
2021-12-29,64.02857142857144,4793.06,16491.009765625
2021-12-30,63.97142857142858,4778.73,16429.099609375
2021-12-31,62.54285714285715,4766.18,16320.080078125
2022-01-03,65.22857142857144,4796.56,16501.76953125
2022-01-04,64.25714285714285,4793.54,16279.73046875
2022-01-05,51.02857142857143,4700.58,15771.7802734375
2022-01-06,52.142857142857146,4696.05,15765.3603515625
2022-01-07,49.25714285714287,4677.03,15592.1904296875
2022-01-10,51.142857142857146,4670.29,15614.4296875
2022-01-11,56.114285714285714,4713.07,15844.1201171875
2022-01-12,55.94285714285714,4726.35,15905.099609375
2022-01-13,52.17142857142857,4659.03,15495.6201171875
2022-01-14,55.8,4662.85,15611.58984375
2022-01-18,53.714285714285715,4577.11,15210.759765625
2022-01-19,44.82857142857143,4532.76,15047.83984375
2022-01-20,39.142857142857146,4482.73,14846.4599609375
2022-01-21,26.728571428571428,4397.94,14438.400390625
2022-01-24,23.128571428571433,4410.13,14509.580078125
2022-01-25,20.88571428571429,4356.45,14149.1201171875
2022-01-26,19.514285714285716,4349.93,14172.759765625
2022-01-27,18.6,4326.51,14003.1103515625
2022-01-28,23.857142857142858,4431.85,14454.6103515625
2022-01-31,29.200000000000006,4515.55,14930.0498046875
2022-02-01,30.800000000000004,4546.54,15019.6796875
2022-02-02,28.800000000000004,4589.38,15139.740234375
2022-02-03,26.057142857142857,4477.44,14501.1103515625
2022-02-04,27.6,4500.53,14694.349609375
2022-02-07,27.914285714285715,4483.87,14571.25
2022-02-08,28.942857142857143,4521.54,14747.0302734375
2022-02-09,32.65714285714286,4587.18,15056.9599609375
2022-02-10,33.6,4504.08,14705.6396484375
2022-02-11,28.48571428571429,4418.64,14253.83984375
2022-02-14,25.685714285714287,4401.67,14268.58984375
2022-02-15,29.97142857142857,4471.07,14620.8203125
2022-02-16,32.08571428571428,4475.01,14603.6396484375
2022-02-17,32.457142857142856,4380.26,14171.740234375
2022-02-18,29.514285714285716,4348.87,14009.5400390625
2022-02-22,28.771428571428572,4304.76,13870.5302734375
2022-02-23,18.814285714285713,4225.5,13509.4296875
2022-02-24,21.228571428571428,4288.7,13974.669921875
2022-02-25,28.142857142857142,4384.65,14189.16015625
2022-02-28,25.47142857142857,4373.94,14237.8095703125
2022-03-01,22.97142857142857,4306.26,14005.990234375
2022-03-02,17.82857142857143,4386.54,14243.6904296875
2022-03-03,21.72857142857143,4363.49,14035.2099609375
2022-03-04,18.17142857142857,4328.87,13837.830078125
2022-03-07,16.9,4201.09,13319.3798828125
2022-03-08,16.67142857142857,4170.7,13267.6103515625
2022-03-09,18.028571428571432,4277.88,13742.2001953125
2022-03-10,17.95714285714286,4259.52,13591.0
2022-03-11,19.057142857142857,4204.31,13301.830078125
2022-03-14,17.5,4173.11,13046.6396484375
2022-03-15,21.857142857142858,4262.45,13458.5595703125
2022-03-16,25.25714285714286,4357.86,13956.7900390625
2022-03-17,33.62857142857143,4411.67,14118.599609375
2022-03-18,38.42857142857143,4463.12,14420.080078125
2022-03-21,40.971428571428575,4461.18,14376.08984375
2022-03-22,44.542857142857144,4511.61,14654.330078125
2022-03-23,45.2,4456.24,14447.5498046875
2022-03-24,46.91428571428571,4520.16,14765.6904296875
2022-03-25,49.371428571428574,4543.06,14754.3095703125
2022-03-28,51.25714285714286,4575.52,14987.400390625
2022-03-29,52.714285714285715,4631.6,15239.3203125
2022-03-30,52.8,4602.45,15071.5498046875
2022-03-31,59.2,4530.41,14838.490234375
2022-04-01,59.8,4545.86,14861.2099609375
2022-04-04,61.65714285714286,4582.64,15159.580078125
2022-04-05,47.91428571428571,4525.12,14820.6396484375
2022-04-06,46.4,4481.15,14498.8896484375
2022-04-07,46.82857142857142,4500.21,14531.8095703125
2022-04-08,46.08571428571429,4488.28,14327.259765625
2022-04-11,43.4,4412.53,13990.2099609375
2022-04-12,42.05714285714286,4397.45,13940.240234375
2022-04-13,41.8,4446.59,14217.2900390625
2022-04-14,39.857142857142854,4392.59,13893.2099609375
2022-04-18,37.6,4391.69,13910.759765625
2022-04-19,39.628571428571426,4462.21,14210.259765625
2022-04-20,43.31428571428571,4459.45,13998.5302734375
2022-04-21,38.94285714285714,4393.66,13720.4501953125
2022-04-22,31.62857142857143,4271.78,13356.8701171875
2022-04-25,29.97142857142857,4296.12,13533.2197265625
2022-04-26,17.900000000000002,4175.2,13009.7099609375
2022-04-27,16.271428571428572,4183.96,13003.3603515625
2022-04-28,24.25714285714286,4287.5,13456.0595703125
2022-04-29,14.328571428571427,4131.93,12854.7998046875
2022-05-02,13.27142857142857,4155.38,13075.849609375
2022-05-03,30.485714285714288,4175.48,13089.900390625
2022-05-04,22.4,4300.17,13535.7099609375
2022-05-05,13.128571428571432,4146.87,12850.5498046875
2022-05-06,12.242857142857146,4123.34,12693.5302734375
2022-05-09,8.185714285714285,3991.24,12187.7197265625
2022-05-10,7.4,4001.05,12345.8603515625
2022-05-11,4.028571428571429,3935.18,11967.5595703125
2022-05-12,3.2,3930.08,11945.5
2022-05-13,11.285714285714286,4023.89,12387.400390625
2022-05-16,11.742857142857144,4008.01,12243.580078125
2022-05-17,15.2,4088.85,12564.099609375
2022-05-18,6.6000000000000005,3923.68,11928.3095703125
2022-05-19,13.714285714285714,3900.79,11875.6298828125
2022-05-20,12.657142857142858,3901.36,11835.6201171875
2022-05-23,17.885714285714283,3973.75,12034.2802734375
2022-05-24,16.0,3941.48,11769.83984375
2022-05-25,17.571428571428573,3978.73,11943.9296875
2022-05-26,24.114285714285717,4057.84,12276.7900390625
2022-05-27,29.542857142857144,4158.24,12681.419921875
2022-05-31,40.057142857142864,4132.15,12642.099609375
2022-06-01,40.60000000000001,4101.23,12548.3603515625
2022-06-02,44.82857142857143,4176.82,12892.8896484375
2022-06-03,35.45714285714286,4108.54,12548.0302734375
2022-06-06,42.8,4121.43,12599.6298828125
2022-06-07,45.62857142857143,4160.68,12711.6796875
2022-06-08,48.11428571428571,4115.77,12615.1298828125
2022-06-09,47.05714285714286,4017.82,12269.7802734375
2022-06-10,40.00000000000001,3900.86,11832.8203125
2022-06-13,25.085714285714293,3749.63,11288.3203125
2022-06-14,20.528571428571432,3735.48,11311.6904296875
2022-06-15,29.25714285714286,3789.99,11593.76953125
2022-06-16,17.700000000000003,3666.77,11127.5703125
2022-06-17,16.92857142857143,3674.84,11265.990234375
2022-06-21,19.728571428571428,3764.79,11546.759765625
2022-06-22,26.885714285714283,3759.89,11527.7099609375
2022-06-23,26.742857142857144,3795.73,11697.6796875
2022-06-24,30.85714285714286,3911.74,12105.849609375
2022-06-27,30.771428571428572,3900.11,12008.240234375
2022-06-28,28.142857142857142,3821.55,11637.76953125
2022-06-29,26.542857142857144,3818.83,11658.259765625
2022-06-30,24.371428571428577,3785.38,11503.7197265625
2022-07-01,24.571428571428573,3825.33,11585.6796875
2022-07-05,22.171428571428574,3831.39,11779.900390625
2022-07-06,22.828571428571426,3845.08,11852.58984375
2022-07-07,27.6,3902.62,12109.0498046875
2022-07-08,31.342857142857145,3899.38,12125.6904296875
2022-07-11,30.37142857142857,3854.43,11860.2802734375
2022-07-12,30.314285714285713,3818.8,11744.990234375
2022-07-13,27.28571428571428,3801.78,11728.5302734375
2022-07-14,26.514285714285716,3790.38,11768.400390625
2022-07-15,33.285714285714285,3863.16,11983.6201171875
2022-07-18,35.885714285714286,3830.85,11877.5
2022-07-19,39.31428571428571,3936.69,12249.419921875
2022-07-20,44.08571428571429,3959.9,12439.6796875
2022-07-21,48.2,3998.95,12619.41015625
2022-07-22,42.42857142857143,3961.63,12396.4697265625
2022-07-25,42.2,3966.84,12328.41015625
2022-07-26,42.0,3921.05,12086.900390625
2022-07-27,46.628571428571426,4023.61,12601.4697265625
2022-07-28,48.48571428571429,4072.43,12717.8701171875
2022-07-29,52.4,4130.29,12947.9697265625
2022-08-01,59.08571428571429,4118.63,12940.7802734375
2022-08-02,57.371428571428574,4091.19,12901.599609375
2022-08-03,60.25714285714286,4155.17,13253.259765625
2022-08-04,61.51428571428571,4151.94,13311.0400390625
2022-08-05,63.31428571428573,4145.19,13207.6904296875
2022-08-08,64.74285714285715,4140.06,13159.16015625
2022-08-09,64.45714285714286,4122.47,13008.169921875
2022-08-10,65.11428571428571,4210.24,13378.3203125
2022-08-11,65.82857142857144,4207.27,13291.990234375
2022-08-12,68.02857142857144,4280.15,13565.8701171875
2022-08-15,66.82857142857144,4297.14,13667.1796875
2022-08-16,67.94285714285715,4305.2,13635.2099609375
2022-08-17,67.14285714285715,4274.04,13470.8603515625
2022-08-18,66.37142857142858,4283.74,13505.990234375
2022-08-19,63.714285714285715,4228.48,13242.900390625
2022-08-22,60.31428571428573,4137.99,12890.5400390625
