Date,FG,NQ
2017-05-10,61.0,5681.68017578125
2017-05-11,63.0,5674.22021484375
2017-05-12,62.0,5686.81005859375
2017-05-15,54.0,5704.47998046875
2017-05-16,66.0,5724.43994140625
2017-05-17,45.0,5580.5498046875
2017-05-18,47.0,5626.31005859375
2017-05-19,49.0,5651.56005859375
2017-05-22,52.0,5699.39990234375
2017-05-23,49.0,5703.35009765625
2017-05-24,54.0,5730.2998046875
2017-05-25,57.0,5778.3701171875
2017-05-26,58.0,5788.35986328125
2017-05-30,52.0,5794.6298828125
2017-05-31,50.0,5788.7998046875
2017-06-01,58.0,5816.509765625
2017-06-02,57.0,5881.4599609375
2017-06-05,58.0,5878.1201171875
2017-06-06,55.0,5856.77001953125
2017-06-07,55.0,5877.58984375
2017-06-08,55.0,5885.2998046875
2017-06-09,54.0,5741.93994140625
2017-06-12,53.0,5708.18017578125
2017-06-13,55.0,5751.81982421875
2017-06-14,52.0,5727.06982421875
2017-06-15,52.0,5700.89013671875
2017-06-16,50.0,5681.47998046875
2017-06-19,57.0,5772.22021484375
2017-06-20,50.0,5726.31005859375
2017-06-21,47.0,5782.39013671875
2017-06-22,50.0,5779.8701171875
2017-06-23,52.0,5803.10986328125
2017-06-26,53.0,5777.58984375
2017-06-27,48.0,5671.60009765625
2017-06-28,60.0,5753.02978515625
2017-06-29,47.0,5653.02001953125
2017-06-30,49.0,5646.919921875
2017-07-03,52.0,5596.9599609375
2017-07-05,57.0,5648.81982421875
2017-07-06,44.0,5597.89990234375
2017-07-07,49.0,5656.47021484375
2017-07-10,46.0,5694.14990234375
2017-07-11,44.0,5709.7998046875
2017-07-12,47.0,5778.9501953125
2017-07-13,54.0,5793.35986328125
2017-07-14,64.0,5838.080078125
2017-07-17,67.0,5839.740234375
2017-07-18,74.0,5880.10009765625
2017-07-19,69.0,5916.16015625
2017-07-20,73.0,5921.22021484375
2017-07-21,73.0,5921.52978515625
2017-07-24,73.0,5941.3701171875
2017-07-25,70.0,5930.64990234375
2017-07-26,75.0,5950.72998046875
2017-07-27,73.0,5917.02978515625
2017-07-28,69.0,5908.919921875
2017-07-31,66.0,5880.330078125
2017-08-01,66.0,5895.169921875
2017-08-02,61.0,5914.22998046875
2017-08-03,59.0,5891.2001953125
2017-08-04,64.0,5899.91015625
2017-08-07,58.0,5934.72998046875
2017-08-08,52.0,5926.35009765625
2017-08-09,41.0,5919.39013671875
2017-08-10,31.0,5788.18994140625
2017-08-11,25.0,5831.52978515625
2017-08-14,36.0,5908.169921875
2017-08-15,27.0,5907.72998046875
2017-08-16,32.0,5917.419921875
2017-08-17,17.0,5796.31982421875
2017-08-18,17.0,5790.91015625
2017-08-21,15.0,5786.5400390625
2017-08-22,23.0,5873.330078125
2017-08-23,19.0,5851.77978515625
2017-08-24,22.0,5834.43994140625
2017-08-25,29.0,5822.52978515625
2017-08-28,35.0,5838.080078125
2017-08-29,29.0,5862.14013671875
2017-08-30,34.0,5932.89990234375
2017-08-31,43.0,5988.60009765625
2017-09-01,49.0,5987.89990234375
2017-09-05,62.0,5932.72998046875
2017-09-06,41.0,5951.1298828125
2017-09-07,38.0,5964.31005859375
2017-09-08,38.0,5913.3701171875
2017-09-11,59.0,5980.52978515625
2017-09-12,59.0,5995.64013671875
2017-09-13,67.0,6004.3798828125
2017-09-14,68.0,5968.81982421875
2017-09-15,77.0,5988.0
2017-09-18,80.0,5981.1201171875
2017-09-19,81.0,5991.080078125
2017-09-20,79.0,5973.60986328125
2017-09-21,73.0,5934.91015625
2017-09-22,70.0,5932.31982421875
2017-09-25,72.0,5867.35009765625
2017-09-26,67.0,5881.33984375
2017-09-27,73.0,5937.7900390625
2017-09-28,79.0,5933.06982421875
2017-09-29,84.0,5979.2998046875
2017-10-02,91.0,5981.919921875
2017-10-03,92.0,5995.06005859375
2017-10-04,91.0,5998.83984375
2017-10-05,94.0,6057.14013671875
2017-10-06,92.0,6064.56982421875
2017-10-09,84.0,6058.52978515625
2017-10-10,85.0,6063.52001953125
2017-10-11,83.0,6081.25
2017-10-12,79.0,6069.990234375
2017-10-13,74.0,6092.4501953125
2017-10-16,78.0,6114.52978515625
2017-10-17,78.0,6122.60986328125
2017-10-18,82.0,6114.35009765625
2017-10-19,83.0,6092.6201171875
2017-10-20,89.0,6108.81982421875
2017-10-23,80.0,6067.830078125
2017-10-24,75.0,6080.22021484375
2017-10-25,75.0,6055.0400390625
2017-10-26,71.0,6037.8701171875
2017-10-27,74.0,6213.47021484375
2017-10-30,65.0,6227.58984375
2017-10-31,69.0,6248.56005859375
2017-11-01,69.0,6248.64990234375
2017-11-02,66.0,6236.39013671875
2017-11-03,66.0,6295.580078125
2017-11-06,58.0,6313.60986328125
2017-11-07,61.0,6320.77978515625
2017-11-08,54.0,6345.81005859375
2017-11-09,54.0,6312.2099609375
2017-11-10,59.0,6309.06982421875
2017-11-13,49.0,6316.18017578125
2017-11-14,49.0,6293.64013671875
2017-11-15,36.0,6258.35986328125
2017-11-16,50.0,6339.14013671875
2017-11-17,44.0,6314.509765625
2017-11-20,51.0,6308.60986328125
2017-11-21,54.0,6378.6298828125
2017-11-22,54.0,6386.1201171875
2017-11-24,59.0,6409.2900390625
2017-11-27,51.0,6405.97021484375
2017-11-28,60.0,6422.56005859375
2017-11-29,67.0,6311.3798828125
2017-11-30,73.0,6365.56005859375
2017-12-01,70.0,6337.8701171875
2017-12-04,64.0,6263.7001953125
2017-12-05,60.0,6265.10986328125
2017-12-06,62.0,6293.0498046875
2017-12-07,60.0,6316.27978515625
2017-12-08,62.0,6344.56982421875
2017-12-11,62.0,6393.89013671875
2017-12-12,67.0,6383.64990234375
2017-12-13,67.0,6394.669921875
2017-12-14,69.0,6389.91015625
2017-12-15,68.0,6466.31982421875
2017-12-18,74.0,6513.27001953125
2017-12-19,72.0,6480.669921875
2017-12-20,72.0,6472.47998046875
2017-12-21,68.0,6472.68994140625
2017-12-22,66.0,6465.169921875
2017-12-26,64.0,6433.16015625
2017-12-27,61.0,6435.14990234375
2017-12-28,58.0,6441.419921875
2017-12-29,53.0,6396.419921875
2018-01-02,67.0,6511.33984375
2018-01-03,67.0,6575.7998046875
2018-01-04,72.0,6584.580078125
2018-01-05,75.0,6653.2900390625
2018-01-08,75.0,6676.6298828125
2018-01-09,75.0,6677.93994140625
2018-01-10,75.0,6662.66015625
2018-01-11,77.0,6708.490234375
2018-01-12,79.0,6758.5400390625
2018-01-16,75.0,6737.14013671875
2018-01-17,75.0,6810.27978515625
2018-01-18,72.0,6811.3798828125
2018-01-19,80.0,6834.330078125
2018-01-22,78.0,6906.27978515625
2018-01-23,78.0,6963.4599609375
2018-01-24,78.0,6919.35009765625
2018-01-25,77.0,6916.2998046875
2018-01-26,79.0,7022.97021484375
2018-01-29,62.0,6988.31982421875
2018-01-30,61.0,6930.72998046875
2018-01-31,61.0,6949.990234375
2018-02-01,58.0,6901.5
2018-02-02,17.0,6760.2900390625
2018-02-05,18.0,6495.919921875
2018-02-06,18.0,6665.97998046875
2018-02-07,16.0,6582.02001953125
2018-02-08,10.0,6306.10009765625
2018-02-09,10.0,6412.68017578125
2018-02-12,13.0,6523.85009765625
2018-02-13,10.0,6553.85986328125
2018-02-14,15.0,6675.02978515625
2018-02-15,18.0,6794.919921875
2018-02-16,18.0,6770.66015625
2018-02-20,17.0,6779.68994140625
2018-02-21,15.0,6759.259765625
2018-02-22,18.0,6761.85009765625
2018-02-23,18.0,6896.60009765625
2018-02-26,20.0,6989.10009765625
2018-02-27,17.0,6900.35009765625
2018-02-28,15.0,6854.419921875
2018-03-01,8.0,6750.5400390625
2018-03-02,10.0,6811.0400390625
2018-03-05,14.0,6881.27978515625
2018-03-06,26.0,6913.02001953125
2018-03-07,23.0,6929.39013671875
2018-03-08,25.0,6966.43017578125
2018-03-09,44.0,7101.18017578125
2018-03-12,40.0,7131.1201171875
2018-03-13,36.0,7046.509765625
2018-03-14,29.0,7040.97998046875
2018-03-15,21.0,7030.97021484375
2018-03-16,19.0,7019.9501953125
2018-03-19,14.0,6864.8798828125
2018-03-20,16.0,6885.919921875
2018-03-21,16.0,6853.4501953125
2018-03-22,11.0,6682.259765625
2018-03-23,7.0,6508.08984375
2018-03-26,8.0,6753.830078125
2018-03-27,6.0,6529.83984375
2018-03-28,7.0,6460.81005859375
2018-03-29,8.0,6581.1298828125
2018-04-02,7.0,6390.83984375
2018-04-03,9.0,6458.830078125
2018-04-04,11.0,6560.06005859375
2018-04-05,13.0,6594.83984375
2018-04-06,9.0,6433.2099609375
2018-04-09,12.0,6472.33984375
2018-04-10,14.0,6615.8701171875
2018-04-11,18.0,6583.43994140625
2018-04-12,22.0,6656.259765625
2018-04-13,23.0,6628.33984375
2018-04-16,25.0,6675.18017578125
2018-04-17,28.0,6816.3701171875
2018-04-18,32.0,6833.2099609375
2018-04-19,32.0,6774.89013671875
2018-04-20,38.0,6667.75
2018-04-23,40.0,6648.7998046875
2018-04-24,32.0,6509.0498046875
2018-04-25,38.0,6513.93994140625
2018-04-26,42.0,6649.64990234375
2018-04-27,40.0,6656.35009765625
2018-04-30,42.0,6605.56982421875
2018-05-01,38.0,6681.9599609375
2018-05-02,39.0,6644.47998046875
2018-05-03,32.0,6643.47998046875
2018-05-04,40.0,6769.1201171875
2018-05-07,41.0,6821.8701171875
2018-05-08,49.0,6815.47998046875
2018-05-09,49.0,6893.2099609375
2018-05-10,53.0,6963.5498046875
2018-05-11,54.0,6952.56005859375
2018-05-14,54.0,6964.3701171875
2018-05-15,55.0,6888.5400390625
2018-05-16,53.0,6929.97021484375
2018-05-17,53.0,6901.6298828125
2018-05-18,52.0,6866.25
2018-05-21,56.0,6905.52978515625
2018-05-22,59.0,6893.6201171875
2018-05-23,54.0,6953.6298828125
2018-05-24,48.0,6949.7001953125
2018-05-25,44.0,6960.919921875
2018-05-29,34.0,6926.5400390625
2018-05-30,42.0,6976.3701171875
2018-05-31,43.0,6967.72998046875
2018-06-01,52.0,7083.93017578125
2018-06-04,55.0,7143.56982421875
2018-06-05,58.0,7166.75
2018-06-06,65.0,7210.080078125
2018-06-07,62.0,7152.830078125
2018-06-08,63.0,7152.6201171875
2018-06-11,64.0,7168.47998046875
2018-06-12,65.0,7209.18017578125
2018-06-13,64.0,7205.259765625
2018-06-14,63.0,7279.58984375
2018-06-15,61.0,7255.759765625
2018-06-18,61.0,7251.41015625
2018-06-19,53.0,7228.0400390625
2018-06-20,57.0,7280.7001953125
2018-06-21,52.0,7217.490234375
2018-06-22,52.0,7197.509765625
2018-06-25,42.0,7038.169921875
2018-06-26,47.0,7068.2001953125
2018-06-27,36.0,6969.669921875
2018-06-28,39.0,7031.60009765625
2018-06-29,34.0,7040.7998046875
2018-07-02,35.0,7097.81982421875
2018-07-03,32.0,7014.5498046875
2018-07-05,33.0,7101.0498046875
2018-07-06,40.0,7207.330078125
2018-07-09,47.0,7276.0
2018-07-10,45.0,7282.60009765625
2018-07-11,41.0,7243.97998046875
2018-07-12,49.0,7366.25
2018-07-13,47.0,7375.81982421875
2018-07-16,45.0,7357.89990234375
2018-07-17,49.0,7403.89013671875
2018-07-18,56.0,7390.1298828125
2018-07-19,50.0,7352.35986328125
2018-07-20,53.0,7350.22998046875
2018-07-23,58.0,7371.77978515625
2018-07-24,64.0,7406.25
2018-07-25,70.0,7508.58984375
2018-07-26,72.0,7400.75
2018-07-27,67.0,7296.77978515625
2018-07-30,64.0,7193.10009765625
2018-07-31,66.0,7231.97998046875
2018-08-01,66.0,7272.89013671875
2018-08-02,68.0,7372.14990234375
2018-08-03,71.0,7395.490234375
2018-08-06,72.0,7438.990234375
2018-08-07,73.0,7462.64990234375
2018-08-08,74.0,7469.5498046875
2018-08-09,70.0,7466.9599609375
2018-08-10,56.0,7408.2998046875
2018-08-13,56.0,7401.169921875
2018-08-14,58.0,7447.169921875
2018-08-15,46.0,7354.66015625
2018-08-16,51.0,7374.2900390625
2018-08-17,54.0,7377.5400390625
2018-08-20,61.0,7371.419921875
2018-08-21,61.0,7397.22998046875
2018-08-22,61.0,7424.60009765625
2018-08-23,59.0,7413.83984375
2018-08-24,68.0,7485.39990234375
2018-08-27,77.0,7559.1298828125
2018-08-28,78.0,7570.25
2018-08-29,78.0,7660.18017578125
2018-08-30,73.0,7642.669921875
2018-08-31,71.0,7654.5498046875
2018-09-04,67.0,7622.31982421875
2018-09-05,62.0,7523.259765625
2018-09-06,53.0,7453.169921875
2018-09-07,52.0,7430.259765625
2018-09-10,56.0,7447.68017578125
2018-09-11,59.0,7507.8701171875
2018-09-12,59.0,7488.06005859375
2018-09-13,72.0,7561.68994140625
2018-09-14,73.0,7545.5
2018-09-17,67.0,7434.72998046875
2018-09-18,73.0,7494.39990234375
2018-09-19,71.0,7490.31982421875
2018-09-20,74.0,7569.02978515625
2018-09-21,75.0,7531.06982421875
2018-09-24,70.0,7548.75
2018-09-25,64.0,7563.18994140625
2018-09-26,53.0,7563.08984375
2018-09-27,48.0,7629.56982421875
2018-09-28,47.0,7627.64990234375
2018-10-01,49.0,7645.4501953125
2018-10-02,45.0,7628.27978515625
2018-10-03,51.0,7637.43017578125
2018-10-04,43.0,7490.0
2018-10-05,33.0,7399.009765625
2018-10-08,28.0,7352.81982421875
2018-10-09,23.0,7371.6201171875
2018-10-10,8.0,7044.5
2018-10-11,5.0,6964.02978515625
2018-10-12,11.0,7157.2099609375
2018-10-15,11.0,7068.669921875
2018-10-16,13.0,7276.43017578125
2018-10-17,14.0,7278.6298828125
2018-10-18,12.0,7116.08984375
2018-10-19,14.0,7107.22998046875
2018-10-22,16.0,7141.2099609375
2018-10-23,12.0,7118.669921875
2018-10-24,6.0,6789.14990234375
2018-10-25,9.0,7016.39013671875
2018-10-26,7.0,6852.39990234375
2018-10-29,7.0,6713.89990234375
2018-10-30,7.0,6810.1201171875
2018-10-31,7.0,6967.10009765625
2018-11-01,6.0,7069.169921875
2018-11-02,8.0,6965.2900390625
2018-11-05,9.0,6937.08984375
2018-11-06,12.0,6988.85009765625
2018-11-07,25.0,7203.1298828125
2018-11-08,29.0,7158.58984375
2018-11-09,18.0,7039.14990234375
2018-11-12,11.0,6829.10009765625
2018-11-13,10.0,6830.91015625
